Wave,Alien,number,timebetween,gaptonextspawn
1,6,1,100,5000
1,3,10,50,5000
1,6,1,50,5000
1,4,9,50,5000
1,6,5,25,5000
2,6,10,50,5000
2,4,15,50,5000
2,7,1,50,5000
2,7,10,50,5000
2,4,15,50,5000
2,8,10,25,5000
3,9,1,50,5000
3,9,10,50,5000
3,9,20,25,5000
3,9,15,50,5000
4,8,1,50,5000
4,8,15,25,5000
4,9,10,50,5000
4,8,10,20,5000
5,7,15,20,5000
5,8,25,10,5000
5,9,25,15,5000
5,8,25,10,5000
5,7,10,20,5000
6,9,15,20,5000
6,8,25,10,5000
6,9,25,15,5000
6,8,25,10,5000
7,7,15,20,5000
7,8,25,10,5000
7,9,25,15,5000
7,8,25,10,5000
7,8,30,10,5000
N,0,0,0,0
